-19.123148,-18.041511,-17.89438,-17.44413,-17.29978,-16.71005,-16.68278,-16.23826,-15.82587,-15.81482,(-1)
-15.602065,-15.193329,-15.09952,-14.82949,-13.89649,-13.79437,-13.71292,-12.88277,-12.55485,-12.47626,(-1)
-12.342564,-12.155521,-11.93708,-11.41644,-10.97593,-10.64778,-10.43682,-10.31789,-10.21929,-9.876542,(-1)
-9.7291140,-9.0623700,-8.917632,-8.912835,-8.743899,-8.723940,-8.501775,-7.949880,-7.859036,-7.691769,(-1)
-7.3626450,-7.0561450,-6.884891,-6.576384,-6.574290,-6.462675,-6.410567,-5.145561,-5.107361,-4.228244,(-1)
 10.791871,13.4892210,13.735785,14.425361,14.475502,14.487986,14.746907,14.821649,14.965797,15.476953,(+1)
 15.702597,15.8383330,16.105744,16.423267,16.508213,16.668038,16.717796,16.964416,17.218432,17.230162,(+1)
 17.298981,17.3625720,17.390403,17.629133,17.838276,17.899188,18.027655,18.112577,18.382716,19.118161,(+1)
 19.512219,19.6972670,19.773490,19.838187,20.050296,20.141147,20.673839,20.824141,20.854489,20.894028,(+1)
 21.157978,21.2033650,21.391092,21.502762,21.506063,21.638936,22.689383,24.261650,24.964825,25.371222,(+1)
